,City Name,Country Code,Temperature(C),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
103,ketchikan,us,1.69,100,75,2.1,55.34,-131.65
104,tuatapere,nz,13.49,100,48,4.92,-46.13,167.69
105,santa maria,cv,20,82,75,5.7,16.6,-22.9
106,bluff,nz,15.32,100,0,6.82,-46.6,168.33
107,mahanoro,mg,21.89,100,32,1.47,-19.9,48.8
108,iqaluit,ca,-21,76,20,1,63.75,-68.52
109,watrous,ca,-14.59,71,0,3.97,51.67,-105.46
110,hacienda heights,us,20.32,13,1,1.5,33.99,-117.97
111,hualmay,pe,18.62,78,8,1.27,-11.1,-77.61
112,banda aceh,id,27.27,95,0,1.17,5.56,95.32
113,alofi,nu,28,78,75,4.1,-19.06,-169.92
114,dolores,ar,12.79,75,0,1.82,-36.31,-57.68
115,lagoa,pt,8,93,0,1,37.14,-8.45
116,kurilsk,ru,-5.04,100,12,4.82,45.23,147.88
117,calvinia,za,8.02,87,0,1.17,-31.47,19.78
118,havre-saint-pierre,ca,0,81,90,3.6,50.23,-63.6
119,port blair,in,28.17,100,0,3.12,11.67,92.75
120,hikari,jp,8,49,75,4.6,33.97,131.95
121,puerto escondido,mx,26.87,100,0,2.82,15.86,-97.07
122,rancho palos verdes,us,19.58,31,20,6.7,33.75,-118.37
123,san felipe,mx,19.89,82,0,5.42,31.02,-114.84
124,bulgan,mn,-9.59,63,0,1.82,48.81,103.53
125,zemio,cf,20.52,83,8,1.22,5.02,25.13
126,sioux lookout,ca,-10.6,66,90,2.6,50.1,-91.92
127,saint-philippe,re,26,83,90,10.3,-21.36,55.77
128,balkanabat,tm,2.64,65,32,2.27,39.51,54.36
129,aklavik,ca,-10,66,75,2.1,68.22,-135.01
130,sitka,us,5.14,30,0,7.72,37.17,-99.65
131,el terrero,hn,23,60,1,6.2,14.73,-87.16
132,torbay,ca,0,88,90,12.9,47.66,-52.73
133,voghera,it,8.06,100,75,1.5,44.99,9.01
134,blackwater,au,31.12,47,68,7.92,-23.58,148.88
135,alice springs,au,29,21,36,5.7,-23.7,133.88
136,acajutla,sv,28,69,20,2.1,13.59,-89.83
137,biltine,td,19.92,16,0,5.57,14.53,20.93
138,acapulco,mx,26,88,5,1.5,16.86,-99.88
139,novoleushkovskaya,ru,1.37,96,92,6.42,45.99,39.99
140,luanda,ao,24,88,0,1.5,-8.83,13.24
141,bethel,us,0,91,90,8.2,60.79,-161.76
142,hay river,ca,-12,85,75,2.1,60.82,-115.79
143,saint george,bm,15,72,75,7.7,32.38,-64.68
144,korla,cn,2.47,61,0,1.77,41.76,86.15
145,niksic,me,10.32,100,75,0.5,42.77,18.95
146,new norfolk,au,19,63,20,4.1,-42.78,147.06
147,caravelas,br,27.39,100,76,7.17,-17.73,-39.27
148,tura,ru,-18.09,75,64,1.32,64.27,100.22
149,lysva,ru,-17.46,71,48,8.62,58.11,57.8
150,kutum,sd,11.37,28,0,4.07,14.2,24.66
151,port-gentil,ga,26.54,99,64,1.97,-0.72,8.78
152,hermanus,za,16.37,97,80,1.72,-34.42,19.24
153,leningradskiy,ru,-17.21,100,64,1.82,69.38,178.42
154,campoverde,pe,24,94,75,1,-8.48,-74.81
155,mahajanga,mg,25,94,40,2.1,-15.72,46.32
156,ulety,ru,-15.51,48,0,1.72,51.36,112.48
157,elko,us,-2,58,1,2.1,40.83,-115.76
158,altay,cn,-11.49,57,32,1.07,47.83,88.13
159,medvezhyegorsk,ru,-25.44,42,20,1.12,62.92,34.47
160,mae sai,th,21,83,0,1.17,20.43,99.88
161,castro,cl,13.27,95,0,1.97,-42.48,-73.76
162,taoudenni,ml,15.17,58,0,2.62,22.68,-3.98
163,maniitsoq,gl,-16.04,84,8,3.57,65.42,-52.9
164,vao,nc,25.92,100,92,7.72,-22.67,167.48
165,boa vista,br,27,83,75,1.5,2.82,-60.67
166,aviles,es,6,75,20,4.1,43.55,-5.92
167,murgab,tm,9,87,75,4.1,37.5,61.97
168,meulaboh,id,27.37,100,24,1.52,4.14,96.13
169,christchurch,nz,15,67,0,3.6,-43.53,172.64
170,nikolskoye,ru,-11,61,0,4,59.7,30.79
171,dikson,ru,-21.79,93,12,8.07,73.51,80.55
172,tasiilaq,gl,-11,51,32,1,65.61,-37.64
173,plettenberg bay,za,19.74,100,92,0.57,-34.05,23.37
174,fortuna,us,12.27,50,1,0.47,40.6,-124.16
175,kupang,id,28.89,95,92,2.22,-10.16,123.6
176,nemuro,jp,-4,45,20,3.6,43.32,145.57
177,ajaccio,fr,12.74,82,75,3.1,41.93,8.74
178,mitsukaido,jp,5.82,60,75,6.7,36.02,139.98
179,xining,cn,-0.21,48,0,1.67,36.62,101.77
180,the valley,ai,24,64,0,4.6,18.22,-63.06
181,dunedin,nz,16.32,81,64,2.77,-45.87,170.5
182,kaitangata,nz,16.72,75,88,6.37,-46.28,169.85
183,carnarvon,au,31.64,62,8,4.87,-24.87,113.63
184,waipawa,nz,16.87,100,92,2.32,-39.94,176.59
185,nuqui,co,25.79,100,36,1.27,5.71,-77.27
186,itupiranga,br,26,88,0,0.5,-5.13,-49.33
187,lazaro cardenas,mx,15,15,20,3.6,28.39,-105.62
188,tommot,ru,-20.74,52,36,3.12,58.97,126.27
189,saskylakh,ru,-28.46,56,24,0.77,71.97,114.09
190,worland,us,-4.25,67,1,4.1,44.02,-107.96
191,markova,ru,-16,54,0,4,52.21,104.21
192,hofn,is,0,100,0,5.7,64.25,-15.21
193,makhu,in,14,93,0,1.32,31.11,74.97
194,sorland,no,-2.04,100,44,8.02,67.67,12.69
195,veshkayma,ru,-20.39,53,24,1.97,54.05,47.12
196,kavieng,pg,28.27,100,80,5.57,-2.57,150.8
197,tete,mz,20.57,93,20,0.32,-16.16,33.59
198,nioaque,br,25.87,82,20,1.97,-21.16,-55.83
199,buala,sb,26.54,100,44,1.27,-8.15,159.59
200,gao,ml,19.24,44,0,2.77,16.28,-0.04
201,mandalgovi,mn,-9.44,80,0,2.67,45.76,106.27
202,solnechnyy,ru,-11.09,50,8,3.47,50.72,136.64
203,amudat,ug,13.17,92,8,1.17,1.95,34.95
204,itarema,br,25.79,91,80,2.52,-2.92,-39.92
205,mlalo,tz,18.52,94,48,0.92,-4.58,38.35
206,hasaki,jp,5.4,60,75,6.7,35.73,140.83
207,itaituba,br,23.54,98,0,1.12,-4.26,-55.99
208,kontagora,ng,21.67,71,0,1.22,10.4,5.47
209,svetlogorsk,ru,-15,60,90,6,53.14,59.15
210,barranca,pe,18.99,96,24,2.57,-10.75,-77.76
211,sosnogorsk,ru,-15.26,68,64,4.12,63.59,53.93
212,anadyr,ru,-7,85,90,4,64.73,177.51
213,lebu,cl,14.04,92,0,6.82,-37.62,-73.65
214,zalaszentgrot,hu,1,70,90,1.12,46.94,17.08
215,lewisporte,ca,-2,100,90,9.3,49.25,-55.06
216,shitkino,ru,-15.51,70,0,1.77,56.37,98.35
217,alaca,tr,4.02,81,48,2.72,40.17,34.84
218,oistins,bb,26,88,40,6.7,13.07,-59.53
219,sarangani,ph,28.74,98,8,0.72,5.4,125.46
220,nouadhibou,mr,19.77,80,0,7.82,20.93,-17.03
221,mookane,bw,20.92,65,68,1.62,-23.68,26.66
222,esmeraldas,ec,27,74,75,3.6,-1.87,-79.8
223,jackson,us,9.15,31,90,6.2,35.61,-88.82
224,cabo san lucas,mx,20.55,72,5,2.1,22.89,-109.91
225,galbshtadt,ru,-0.64,93,68,9.97,53.23,78.98
226,cuauhtemoc,mx,26,15,5,3.1,28.72,-111.63
227,paragominas,br,23.32,97,36,1.32,-3,-47.35
228,tazovskiy,ru,-8.74,87,92,10.07,67.47,78.7
229,benghazi,ly,17.62,96,12,7.97,32.12,20.07
230,margate,za,21.79,98,88,4.07,-30.86,30.37
231,provideniya,ru,-4,68,75,8,64.42,-173.23
232,havelock,us,10.99,100,90,3.6,34.88,-76.9
233,luwingu,zm,13.54,90,12,1.02,-10.26,29.92
234,ntungamo,ug,16.02,95,80,1.17,-0.87,30.27
235,somerset,us,0.91,74,90,1.42,41.77,-71.13
236,watertown,us,-8,78,1,7.2,44.9,-97.12
237,lahad datu,my,27.77,86,8,1.77,5.02,118.33
